Query	Subject	% Similarity	E Value	Length
TC_RS01040	CPn0971	69.22	7.999999999999998e-76	705
TC_RS01045	CPn1068	91.3	0.063	23
TC_RS01050	CPn0973	67.92	4.999999999999999e-106	1147
TC_RS01055	CPn0974	72.67	9.999999999999997e-131	827
TC_RS01060	CPn0979	72.28	0.0	1367
TC_RS01065	CPn0981	67.05	0.0	2701
TC_RS01070	CPn0982	68.66	6.999999999999998e-73	753
TC_RS01075	CPn0983	69.61	7.999999999999999e-83	724
TC_RS04770	CPn0567	89.29	0.015	28
TC_RS01080	CPn0984	70.44	0.0	3160
TC_RS01085	CPn0985	76.72	0.0	1018
TC_RS04775	CPn0986	66.48	2.9999999999999995e-36	522
TC_RS01090	CPnt35	100.0	2e-33	74
TC_RS01095	CPn1017	88.0	0.52	25
TC_RS01100	CPn0988	67.93	1.0000000000000001e-24	343
TC_RS01105	CPn0712	88.0	0.12	25
TC_RS01110	CPn0990	77.22	1.9999999999999995e-121	562
TC_RS01115	CPn0991	85.13	5e-59	195
TC_RS01120	CPn0992	75.98	6.999999999999997e-67	358
TC_RS01125	CPn0993	69.15	8.999999999999999e-115	1021
TC_RS01130	CPnt36	100.0	6.999999999999999e-39	84
TC_RS01135	CPn0994	66.23	5.999999999999999e-95	1537
TC_RS01140	CPn0995	66.63	5.999999999999999e-73	1028
TC_RS01145	CPn0996	70.0	5.999999999999998e-124	1030
TC_RS01150	CPn0997	71.75	4e-18	177
TC_RS01155	CPn0998	74.09	0.0	2717
TC_RS01160	CPn0999	68.87	0.0	2062
TC_RS01165	CPn1000	80.0	6.999999999999998e-59	245
TC_RS01170	CPn1001	70.24	8e-42	373
TC_RS01175	CPn1002	70.3	7e-07	101
TC_RS01180	CPn1003	70.98	8e-19	193
TC_RS01185	CPn1004	69.0	2e-37	371
TC_RS01190	CPn1005	72.45	5.999999999999999e-69	461
TC_RS01195	CPn1006	78.28	5e-82	373
TC_RS01200	CPn1007	70.83	5e-14	144
TC_RS01205	CPn1008	80.77	1e-06	52
TC_RS01210	CPn1009	71.98	9.999999999999997e-132	878
TC_RS01215	CPn1010	62.9	0.0003	593
TC_RS01220	CPn1011	75.9	3e-10	83
TC_RS01225	CPn1012	68.88	6.9999999999999994e-37	376
TC_RS01230	CPn1013	73.14	0.0	1344
TC_RS01235	CPn1014	72.55	0.0	1676
TC_RS01240	CPn0198	94.44	1.2	18
TC_RS01245	CPn1015	70.18	3.999999999999999e-152	1224
TC_RS01250	CPn1016	68.05	6e-63	745
TC_RS01255	CPn1017	67.33	4e-74	903
TC_RS01260	CPn1019	64.84	1e-14	384
TC_RS01265	CPn0548	81.25	0.4	32
TC_RS01265	CPn0305	82.35	0.4	34
TC_RS01265	CPn0303	88.0	0.4	25
TC_RS01265	CPn0153	95.0	0.4	20
TC_RS01270	CPn1021	72.01	2e-62	443
TC_RS01275	CPn1022	72.34	2.9999999999999996e-65	441
TC_RS01280	CPnt37	97.56	4e-35	82
TC_RS01285	CPn0835	100.0	0.078	17
TC_RS01290	CPn1024	66.6	1.0000000000000001e-29	485
TC_RS01295	CPn0476	82.46	2e-09	57
TC_RS01300	CPn0475	68.15	1.9999999999999995e-166	1689
TC_RS01305	CPn0018	84.38	0.019	32
TC_RS01310	CPn0338	100.0	0.57	15
TC_RS01315	CPn0020	91.67	0.01	24
TC_RS01320	CPn0970	92.0	0.08199999999999999	25
TC_RS01320	CPn0969	92.0	0.08199999999999999	25
TC_RS01325	CPn0471	80.49	0.005	41
TC_RS01330	CPn0466	92.59	0.002	27
TC_RS01335	CPn0014	75.9	2e-07	83
TC_RS01340	CPn0454	82.35	8e-07	51
TC_RS01345	CPn0336	88.0	0.15	25
TC_RS01350	CPn0446	72.41	0.19	58
TC_RS01350	CPn0279	95.65	0.19	23
TC_RS01355	CPn0134	94.74	1.6	19
TC_RS01355	CPn0082	90.48	1.6	21
TC_RS01360	CPn0001	71.43	6e-09	105
TC_RS01365	CPn0981	85.19	0.07400000000000001	27
TC_RS01370	CPn0003	69.43	3.999999999999999e-147	1256
TC_RS01375	CPn0004	70.26	0.0	1429
TC_RS01380	CPn0709	73.85	0.27	65
TC_RS01380	CPn0647	83.33	0.27	30
TC_RS01380	CPn0274	91.67	0.27	24
TC_RS01385	CPn0434	90.48	0.52	21
TC_RS01390	CPn0441	66.91	9e-39	538
TC_RS01395	CPn1068	68.35	7.999999999999998e-71	790
TC_RS01400	CPn1069	72.11	2e-36	294
TC_RS01405	CPn0098	66.91	2.9999999999999997e-53	813
TC_RS01410	CPn0100	66.9	2.999999999999999e-84	1127
TC_RS01415	CPn0101	68.92	9.999999999999998e-81	785
TC_RS01420	CPn0102	69.84	2.9999999999999993e-160	1280
TC_RS01425	CPn0103	69.9	1e-50	495
TC_RS01430	CPn0106	69.85	1.9999999999999993e-156	1307
TC_RS01435	CPn0105	63.24	3e-17	748
TC_RS01440	CPn0104	66.99	9e-47	618
TC_RS01445	CPn0708	94.74	0.45	19
TC_RS04780	CPns01	82.2	3.9999999999999995e-114	427
TC_RS01450	CPn0109	72.23	0.0	2474
TC_RS01455	CPn0110	65.85	4.999999999999998e-96	1514
TC_RS01460	CPn0111	68.37	2.9999999999999997e-12	196
TC_RS01465	CPn0112	82.48	9.999999999999998e-64	234
TC_RS01470	CPn0113	72.63	6.999999999999998e-161	1023
TC_RS01475	CPn0114	67.26	2.9999999999999994e-56	672
TC_RS01480	CPn0115	68.17	2.999999999999999e-135	1357
TC_RS01485	CPn0116	76.43	1e-62	314
TC_RS01490	CPn0117	70.91	9.999999999999999e-69	574
TC_RS01495	CPn0118	76.5	2e-74	366
TC_RS01500	CPn0872	92.31	0.013999999999999999	26
TC_RS01505	CPn0120	66.67	1e-40	597
TC_RS01510	CPn0121	77.78	3e-25	135
TC_RS01515	CPn0122	69.96	0.0	1528
