Query	Subject	% Similarity	E Value
TC_RS01400	CPn1069	72.11	2e-36
TC_RS01405	CPn0098	66.91	2.9999999999999997e-53
TC_RS01410	CPn0100	66.9	2.999999999999999e-84
TC_RS01415	CPn0101	68.92	9.999999999999998e-81
TC_RS01420	CPn0102	69.84	2.9999999999999993e-160
TC_RS01425	CPn0103	69.9	1e-50
TC_RS01430	CPn0106	69.85	1.9999999999999993e-156
TC_RS01435	CPn0105	63.24	3e-17
TC_RS01440	CPn0104	66.99	9e-47
TC_RS01445	CPn0708	94.74	0.45
TC_RS04780	CPns01	82.2	3.9999999999999995e-114
TC_RS01450	CPn0109	72.23	0.0
TC_RS01455	CPn0110	65.85	4.999999999999998e-96
TC_RS01460	CPn0111	68.37	2.9999999999999997e-12
TC_RS01465	CPn0112	82.48	9.999999999999998e-64
TC_RS01470	CPn0113	72.63	6.999999999999998e-161
TC_RS01475	CPn0114	67.26	2.9999999999999994e-56
TC_RS01480	CPn0115	68.17	2.999999999999999e-135
TC_RS01485	CPn0116	76.43	1e-62
TC_RS01490	CPn0117	70.91	9.999999999999999e-69
TC_RS01495	CPn0118	76.5	2e-74
TC_RS01500	CPn0872	92.31	0.013999999999999999
TC_RS01505	CPn0120	66.67	1e-40
TC_RS01510	CPn0121	77.78	3e-25
TC_RS01515	CPn0122	69.96	0.0
TC_RS01520	CPn0123	66.46	4.9999999999999984e-135
TC_RS01525	CPn0127	70.15	2e-10
TC_RS01530	CPn0128	65.81	2.0000000000000002e-21
TC_RS01535	CPn0899	92.31	0.002
TC_RS01540	CPnt04	100.0	1.9999999999999998e-32
TC_RS01545	CPn1038	90.48	0.3
TC_RS01550	CPn0392	74.04	2.9999999999999992e-99
TC_RS01555	CPn0390	73.34	1.9999999999999996e-154
TC_RS01560	CPn0389	71.06	2e-77
TC_RS01565	CPn0388	68.78	5.999999999999998e-121
TC_RS01570	CPn0387	81.51	1.9999999999999995e-138
TC_RS01575	CPn0386	70.08	2.9999999999999996e-28
TC_RS01580	CPn0385	70.18	9.999999999999999e-153
TC_RS01585	CPn0384	63.05	9e-05
TC_RS01590	CPn1072	88.0	0.24
TC_RS01595	CPn0382	67.56	4e-35
TC_RS01600	CPn0005	100.0	0.34
TC_RS04785	CPn0880	100.0	1.0
TC_RS04785	CPn0719	90.91	1.0
TC_RS04785	CPn0458	86.96	1.0
TC_RS01610	CPn0925	92.59	0.008
TC_RS01615	CPn0380	66.71	5.999999999999999e-61
TC_RS01620	CPn0379	74.78	7.999999999999998e-80
TC_RS01625	CPn0796	100.0	0.15
TC_RS01630	CPn0378	67.47	0.0
TC_RS01635	CPn0377	70.53	2e-85
TC_RS01640	CPn0374	69.82	2.0000000000000002e-21
TC_RS01645	CPn0373	67.39	5.999999999999999e-69
TC_RS01650	CPn1071	95.45	0.29
TC_RS01655	CPn0364	73.89	3e-26
TC_RS01660	CPnt13	98.67	1.9999999999999998e-32
TC_RS01665	CPn0363	70.19	4e-14
TC_RS01670	CPn0362	68.14	9.999999999999998e-67
TC_RS01675	CPn0361	69.03	1.9999999999999995e-80
TC_RS01680	CPn0360	66.45	1.9999999999999995e-105
TC_RS01685	CPn0359	75.65	0.0
TC_RS01690	CPn0351	74.18	0.0
TC_RS01695	CPn0238	89.66	0.001
TC_RS01700	CPn0350	75.81	9.999999999999999e-85
TC_RS01705	CPn0756	81.58	0.005
TC_RS01710	CPn0349	66.71	1.9999999999999998e-54
TC_RS01715	CPn0348	72.33	3.9999999999999993e-112
TC_RS01720	CPn0347	64.33	9.999999999999999e-52
TC_RS01725	CPn0346	68.0	2e-60
TC_RS01730	CPn0345	66.94	9e-65
TC_RS01735	CPn0344	73.35	8e-62
TC_RS01740	CPn0342	71.67	5.999999999999999e-111
TC_RS01745	CPn0339	69.68	9.000000000000001e-14
TC_RS01750	CPn0338	72.67	3.999999999999999e-177
TC_RS01755	CPn0337	72.52	9.999999999999998e-64
TC_RS01760	CPn0336	64.52	3e-19
TC_RS01765	CPn0335	68.97	5.9999999999999995e-53
TC_RS01770	CPn0796	100.0	0.39
TC_RS01770	CPn0415	100.0	0.39
TC_RS01775	CPn0102	88.46	0.021
TC_RS04790	CPn0571	100.0	0.97
